,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,anime
2,2,Shinobu MAEHARA,Unknown,Female,Blue,2.942,9.11,Unknown,Unknown,Unknown,"Cooks, Crybabies, Middle School Students, Shy",823.0,53,Unknown,https://www.anime-planet.com/characters/shinobu-maehara,Love Hina
3,3,Chizuru OSHIMA,Unknown,Female,Black,3.877,1.801,Unknown,Unknown,Unknown,"Class Representatives, Glasses, High School Students, Teenagers",633.0,269,Unknown,https://www.anime-planet.com/characters/chizuru-oshima,My Little Monster
4,4,Yuuzan YOSHIDA,Unknown,Male,Black,3.577,2.819,Unknown,Unknown,Unknown,Unknown,684.0,180,Unknown,https://www.anime-planet.com/characters/yuuzan-yoshida,My Little Monster
5,5,Gabi,Unknown,Female,Black,4.676,97.0,Brown,April 14,Unknown,"Big Ego, Bossy, Hot-Headed, Hyperactive, Military, Selfish, Vengeful",521.0,2.384,Unknown,https://www.anime-planet.com/characters/gabi-attack-on-titan,Attack on Titan The Final Season
9,9,Sasame,Unknown,Male,Unknown,6.672,11.161,Unknown,December 30,AB,"Piercings, Magic Users, Glasses",347.0,41,Unknown,https://www.anime-planet.com/characters/sasame,Pretear
13,13,Benno,Unknown,Male,Grey,4.59,37.918,Brown,Unknown,Unknown,"Adults, Merchants, Scarves",532.0,7,Unknown,https://www.anime-planet.com/characters/benno,Ascendance of a Bookworm
22,22,Rumati IVAN DAI LAGINAY,Lumati IVAN DAI LAGINAY,Male,Black,5.482,38.567,Unknown,Unknown,Unknown,"Dark-skinned, Royalty, Teenagers",437.0,6,Unknown,https://www.anime-planet.com/characters/rumati-ivan-dai-laginay,Hanasakeru Seishounen
24,24,Len TSUKIMORI,Unknown,Male,Blue,4.129,14.828,Unknown,Unknown,Unknown,"Musicians, High School Students, Wealthy, Teenagers, Violinists, Pianists, Big Ego",595.0,28,Unknown,https://www.anime-planet.com/characters/len-tsukimori,La Corda D'Oro: Blue Sky
38,38,Raven,Unknown,Male,Black,3.828,35.456,Unknown,Unknown,Unknown,"Teenagers, Butlers, Stoic",641.0,7,"Most notable for his unusual green eyes, Raven is a loyal servant to Edgar and is willing to fight for his master. Feared by many, his skills are deadly and quickly subdue any that would go against either Edgar or any under his protection. Quiet and emotionless, it seems that very little can break into his icy heart.",https://www.anime-planet.com/characters/raven-earl-and-fairy,Earl and Fairy
39,39,Chichiri,Unknown,Male,Blue,4.852,29.07,Red,May 21,Unknown,"Adults, Closed Eyes, Monks, Verbal Tic, Warriors",499.0,10,Unknown,https://www.anime-planet.com/characters/chichiri,Fushigi Yugi OVA
44,44,Kaito,Unknown,Male,Blonde,2.953,22.153,Unknown,Unknown,Unknown,"Bikers, Piercings",821.0,16,Unknown,https://www.anime-planet.com/characters/kaito-ajin,Ajin: Demi-Human
45,45,Takeru HIBIYA,Unknown,Male,Black,3.289,7.776,Unknown,Unknown,Unknown,"High School Students, Ponytail, Teenagers",741.0,64,Unknown,https://www.anime-planet.com/characters/takeru-hibiya,Wolf Girl and Black Prince
46,46,Lee-Leng HUANG,Li Ren FANG,Male,Black,4.679,35.429,Unknown,Unknown,Unknown,"Adults, Wealthy",520.0,7,Unknown,https://www.anime-planet.com/characters/lee-leng-huang,Hanasakeru Seishounen
47,47,Kajika BURNSWORTH,Unknown,Female,Brown,7.277,10.744,Unknown,Unknown,Unknown,"Teenagers, Wealthy",314.0,43,Unknown,https://www.anime-planet.com/characters/kajika-burnsworth,Hanasakeru Seishounen
49,49,Tsukasa DOMYOJI,Unknown,Male,Unknown,6.942,10.573,Unknown,January 31,B,"High School Students, School Idols, Teenagers, Wealthy",331.0,44,"Tsukasa is the leader of the F4 and heir to a very rich and powerful corporation. Although arrogant, hot-blooded, he remains very loyal to his friends. He is closest to the other three members of the F4, and his membership in the group makes him an idol to many of his classmates, especially the girls. In addition, Domyoji has his trademark curly hair which is tough to uncurl.",https://www.anime-planet.com/characters/tsukasa-domyoji,Boys Before Flowers: The Movie
50,50,Seiji AMASAWA,Unknown,Male,Black,3.296,38.522,Unknown,Unknown,Unknown,"Violinists, Musicians, Middle School Students, Bookworms, Teenagers",739.0,6,Unknown,https://www.anime-planet.com/characters/seiji-amasawa,Whisper of the Heart
52,52,Yuuki ANZAI,Unknown,Male,Black,2.665,24.394,Unknown,Unknown,Unknown,"Vampires, Police, Half-Breeds, Adults, Eye Bags",906.0,14,Unknown,https://www.anime-planet.com/characters/yuuki-anzai,Devils' Line
60,60,Edgar J. C. ASHENBERT,Unknown,Male,Blonde,2.588,13.794,Unknown,Unknown,Unknown,"Adults, Flirts, Nobility, Orphans",932.0,31,Unknown,https://www.anime-planet.com/characters/edgar-j-c-ashenbert,Earl and Fairy
64,64,Tasuki,Shun'u KOU,Male,Orange,4.273,27.445,Orange,April 18,Unknown,"Elemental Powers, Fire Powers, Hot-Headed, Kansai Dialect, Warriors",574.0,11,Unknown,https://www.anime-planet.com/characters/tasuki,Fushigi Yugi OVA
65,65,Prince Lune,Unknown,Male,Blue,3.887,32.882,Unknown,Unknown,Unknown,"Animals, Heterochromia, Royalty, Cats, Anthropomorphic",631.0,8,Unknown,https://www.anime-planet.com/characters/prince-lune,The Cat Returns
69,69,Akura-ou,Kirihito MORI,Male,Black,4.317,5.931,Red,Unknown,Unknown,Youkai,566.0,87,Unknown,https://www.anime-planet.com/characters/akura-ou,Kamisama Kiss
70,70,Tamahome,Kishuku SOU,Male,Turquoise,3.725,5.888,Unknown,June 28,Unknown,"Broken Record, Martial Artists, Warriors",658.0,87,Unknown,https://www.anime-planet.com/characters/tamahome,Fushigi Yugi OVA
76,76,Jin SEON,Unknown,Male,Black,5.352,45.904,Unknown,Unknown,Unknown,"High School Students, Teenagers, Blinding Bangs, Wealthy, Sickly, Eye Bags",450.0,5,Unknown,https://www.anime-planet.com/characters/jin-seon,Bastard
80,80,Chika KUDOU,Unknown,Male,Blonde,4.113,141.753,Unknown,Unknown,Unknown,"Delinquents, High School Students, Musicians, Teenagers",599.0,Unknown,Unknown,https://www.anime-planet.com/characters/chika-kudou,Kono Oto Tomare!
84,84,Kirito KAMUI,Unknown,Male,Black,5.281,7.379,Unknown,Unknown,Unknown,"Chokers, Scars, Adults",455.0,68,Unknown,https://www.anime-planet.com/characters/kirito-kamui,Psycho-Pass 2
88,88,Homare KOIWAI,Unknown,Male,Black,5.168,15.527,Unknown,Unknown,Unknown,"Adults, Mischievous",467.0,27,Unknown,https://www.anime-planet.com/characters/homare-koiwai,Recovery of an MMO Junkie
94,94,Ferdinand,Unknown,Male,Blue,6.248,18.108,Yellow,Unknown,Unknown,"Musicians, Adults, Knights, Nobility",376.0,22,Unknown,https://www.anime-planet.com/characters/ferdinand-ascendance-of-a-bookworm,Ascendance of a Bookworm
96,96,Kuro,Klahadore,Male,Black,4.684,141.0,Unknown,April 22,Unknown,"Adults, Claw Weapons, Glasses, Pirates",519.0,1.862,"Kuro is the original captain of the Black Cat Pirates, which he entrusted to Jango when he was ‘captured’. He is a ruthless captain who would cut down his crew just as easily as his enemies. He is a fearsome opponent who wears gloves with large blades protruding from the fingers. Kuro fights with incredible speed, and despite his ferocious nature, he wants nothing more than to retire in peace without being chased by the marines.",https://www.anime-planet.com/characters/kuro,Hungry Days x Bump of Chicken: Kinen Satsuei
102,102,Arlong,Unknown,Male,Black,4.313,36.0,Unknown,May 3,Unknown,"Adults, Big Ego, Big Noses, Hats, Muscular, Piercings, Pirates, Racial Purists, Sailors, Sharp Teeth, Tattoos",566.0,4.019,"Arlong is a merman and leader of his own crew including Hacchan , Chew and Kuroobi . His most prominent features are his large saw-like nose and huge fearsome teeth. He is a fierce pirate who believes in business – though he doesn’t tend to play fair – and he uses his immense strength in order to gain riches. Though formidable on land, when fighting in the water, Arlong’s speed makes him a deadly enemy.",https://www.anime-planet.com/characters/arlong,Hungry Days x Bump of Chicken: Kinen Satsuei
111,111,Blackbeard,Marshall D. TEACH,Male,Black,2.997,26.0,Black,August 3,Unknown,"Adults, Cruel, Darkness Powers, Elemental Powers, Eternal Optimists, Facial Hair, Gravity Manipulators, Hats, Manipulative, Missing Teeth, Pirates, Ruthless, Sailors, Superpowers",809.0,4.816,"Blackbeard’s full name is Marshall D. Teach. Before he became captain of the Blackbeard pirates, he was formerly a member of Whitebeard ’s second division under the leadership of Portgas D. Ace . He is a fierce and devious man who is particularly fierce in battle. He harnesses the power of the Darkness Darkness fruit, which allows Blackbeard to control and even become darkness itself.",https://www.anime-planet.com/characters/blackbeard,Hungry Days x Bump of Chicken: Kinen Satsuei
131,131,Masako HARA,Unknown,Female,Black,6.735,2.008,Unknown,Unknown,Unknown,"Psychic Powers, Superpowers",343.0,245,Unknown,https://www.anime-planet.com/characters/masako-hara,Ghost Hunt
133,133,Hiromu SHINBO,Hiromu SHIMBO,Male,Brown,3.66,5.884,Unknown,Unknown,Unknown,"Teenagers, University Students",668.0,87,"Shinbo is Hideki 's best friend and neighbor who lives in the apartment next to him. Shinbo also attends Seki cram school with Hideki, and appears to be a better student. Shinbo often lends his notes from class to his friend and appears to study more than Hideki. He owns a miniature mobile persocom named Sumomo , and is often the first person who Hideki turns to for help with persocoms or other technology.",https://www.anime-planet.com/characters/hiromu-shinbo,Chobits
135,135,Tatsumi KIRISHIKI,Unknown,Male,Blue,3.688,675.0,Unknown,Unknown,Unknown,"Epic Eyebrows, Werewolves",664.0,592,Unknown,https://www.anime-planet.com/characters/tatsumi-kirishiki,Shiki
